datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
114	2.0092247	-2.6152694	7.9526917	285.26334	6.5289447	272.75238	1.7922196e-10
115	2.6715078	-2.7384777	6.8606201	266.99884	6.0658521	279.11874	1.205569e-10
116	2.7504082	-1.9558334	7.8982483	286.07928	5.8565926	287.50977	0
117	1.4588171	-2.7353859	6.9928833	224.62474	4.738995	298.28891	0
118	1.1979229	0.24046557	7.7765137	158.97476	5.2662949	295.74905	0
119	4.1965051	-0.44421846	9.9903503	297.19275	6.822009	279.74792	0
120	3.2635128	0.00039225398	11.726434	221.48531	6.6906597	301.94086	5.5575572e-10
121	2.2706683	3.8434415	14.352045	50.585484	13.044602	355.27853	6.8185618e-09
122	1.7817905	-3.755271	9.0555664	226.09958	9.111059	332.33807	1.2192878e-09
123	1.7096441	-1.2279918	8.3084351	253.18567	5.9254141	312.46622	0
124	2.0563397	4.6093788	10.446008	52.932308	9.2079697	326.82083	1.901918e-09
125	5.2423887	-2.2585063	6.1628357	315.41943	5.1787629	283.58774	2.6047464e-11
126	4.3796058	-0.47520044	4.7560364	317.00876	3.7767706	271.99796	0
127	3.533216	-0.63771808	7.5740906	321.11951	4.9191191	265.927	0
128	3.4714396	-0.082637317	10.499841	313.30399	6.0302182	282.27805	0
129	3.3286808	-0.85185105	12.586633	308.02982	6.3793497	291.43515	0
130	4.2399673	0.22313923	15.056696	310.16248	6.5607596	300.06689	0
131	3.8646784	0.86890578	16.243768	97.305573	7.3961501	350.62973	1.4411011e-10
132	1.1141185	-1.3153956	14.590509	278.49948	11.599271	330.32736	1.3305612e-09
133	0.41033772	-0.74346292	14.478845	152.71748	12.309796	347.47583	3.8680885e-09
134	0.457874	-0.60502613	8.3383118	143.19846	7.6427901	307.32346	1.7733391e-09
135	8.017848	-1.0498749	10.62066	287.15524	8.6643195	319.61786	1.8488537e-09
136	2.8509517	-3.1387863	8.8341003	252.89462	7.2839099	299.16193	0
137	-2.9890213	1.1336035	8.4219604	18.699373	9.289868	348.84042	7.7425617e-09
138	1.0986546	-3.3644378	10.147394	205.96002	10.376662	341.00797	1.7768821e-10
139	4.381804	-0.98970187	10.9414	180.04582	9.1686606	322.00073	3.1049623e-11
