datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
206	0.89098108	2.0394893	20.377649	210.34018	21.2459	403.80475	3.5495301e-09
207	6.5876684	0.26718995	19.227106	160.78574	17.154587	380.92804	1.0776163e-09
208	4.282856	-0.46723402	18.029779	279.24094	14.63066	340.87302	0
209	3.1170969	-0.24887669	20.650171	277.82495	15.729014	360.17667	0
210	-1.9400374	-0.35543925	20.593256	123.44731	15.417938	375.22552	0
211	-2.4621286	-2.245723	17.012109	94.381012	15.931912	383.323	1.1478697e-09
212	-1.5880518	2.3455875	16.297876	158.98413	15.146717	360.87357	5.2178984e-10
213	2.4012291	3.5192235	19.597925	260.87497	18.705729	389.14792	1.2534683e-09
214	5.3604517	-1.9177029	19.441095	270.90808	15.60264	364.4075	0
215	4.1245537	-2.2152312	16.949854	260.02191	12.853502	340.51822	0
216	2.9599688	-2.598038	15.9638	221.78094	12.197171	342.95276	0
217	-0.18379559	0.8225053	17.431024	133.79128	13.953381	363.97906	0
218	2.3734941	0.85377103	19.47558	259.8783	15.548573	379.13727	4.9933791e-10
219	4.8674092	0.20217885	19.655084	269.15305	13.518658	351.56558	0
220	2.4606495	2.0952451	21.469659	144.22627	14.688048	375.88535	0
221	2.4957218	2.0813243	23.030878	254.57333	16.257094	391.09464	8.0320562e-10
222	0.8070336	0.42824805	21.778162	191.36896	15.736897	375.55707	1.5590667e-09
223	4.175591	1.5922188	21.207574	196.67799	19.883806	404.20407	2.5248385e-09
224	4.2460823	-1.5980077	18.617975	272.77832	13.474043	348.01917	0
225	1.6121826	-1.9999571	17.80282	273.46875	12.030811	336.86365	0
226	-0.38301092	1.6769291	19.292261	256.31949	13.73888	340.96167	0
227	0.34333357	4.73493	18.777277	74.719315	17.750904	399.93747	5.1388179e-09
228	4.0428572	-0.45884719	18.375665	256.40707	16.508836	359.87756	7.340938e-10
229	4.9291911	-0.38860109	16.784296	262.07269	12.136247	334.58109	0
230	3.1185813	-1.7607788	14.597986	250.18942	10.658157	323.95441	4.1830568e-10
231	3.2929032	-1.2414556	14.043298	270.66867	9.7391484	312.38971	0
232	2.0739913	3.1363201	16.269678	102.25003	11.427707	345.74738	3.8202227e-09
233	1.481571	-1.2147945	15.847345	252.54007	16.018928	364.38773	1.0413583e-08
234	0.30060789	-1.0175861	15.461664	260.42358	13.036903	328.19653	0
235	-2.4789004	3.2313743	15.083948	39.553989	14.743409	365.66556	8.7819365e-09
236	-0.17366146	-0.25449139	16.052667	60.447941	17.679776	398.85464	7.7799747e-09
237	0.99032956	-5.838943	12.015497	89.150497	12.308032	367.63962	9.5091438e-10
238	0.37890917	-2.7020919	14.155847	266.7453	12.178605	322.15973	0
239	0.58149529	1.544634	16.145227	209.54948	13.280745	335.71469	0
240	2.5443377	-0.22166634	17.288904	216.38696	14.518595	368.85986	4.1670129e-10
241	-0.29916278	-0.32566345	15.289636	124.08762	12.615446	335.32288	0
242	-0.75776106	0.96142018	16.35351	254.35387	13.732841	336.89575	0
243	-2.7672412	0.82183379	16.477838	23.859461	17.054707	404.87524	4.4026222e-09
244	3.4214215	1.0499356	18.029596	197.09891	17.580822	381.7269	1.4481435e-09
245	4.0081673	-1.8073596	13.561761	259.11108	11.19376	320.58575	0
246	1.0542431	3.4551692	16.965845	252.06665	12.820548	332.21713	0
247	1.8260299	3.2664192	17.308527	67.144463	15.399365	374.95853	5.9442239e-10
248	-1.8080205	-0.32124111	16.321466	70.626846	17.050977	403.5657	4.8703957e-10
249	2.0953832	4.5508132	18.865533	124.69327	19.223287	410.59964	1.4651735e-09
250	1.9266716	-0.72755039	19.977289	167.05498	20.745606	411.8855	6.2210687e-09
251	-0.13874598	1.4530964	18.641199	120.33501	19.968029	410.07062	1.4013946e-09
252	1.1200283	-3.6032622	13.528375	81.199356	12.304272	359.10132	2.4628268e-10
253	-4.2402658	-0.51132476	9.28927	25.324169	10.706817	364.62537	7.3753884e-09
254	-2.9652922	0.74438983	13.614557	38.485382	15.052514	394.33975	2.1821519e-08
255	-0.41182843	-3.114145	12.952783	34.574371	14.66594	393.95132	6.7740992e-10
256	1.0910728	-3.2514675	11.154108	202.23723	11.74823	351.90656	2.9874724e-10
257	1.408607	-1.3030409	13.63595	221.2379	12.371972	328.57733	0
258	1.4634844	2.2335122	15.635065	219.31277	13.658837	337.88281	0
259	2.4257393	2.3178234	15.739526	108.56046	14.621206	368.6445	0
260	2.010673	3.7668719	16.418024	26.726339	16.799234	397.772	4.6110599e-09
261	2.0812137	-3.585736	12.438409	202.35989	12.017253	344.3978	1.7183173e-09
262	-1.0131592	-1.3621049	9.5518127	215.7975	9.4411262	298.64478	0
263	-0.37989292	2.0032399	11.41308	43.479973	11.877068	359.37988	2.507204e-10
264	2.372782	-0.89853859	13.286859	189.02803	12.904033	334.7345	0
265	0.5605827	-0.10406215	13.837885	115.20092	12.501271	354.07437	0
266	2.596678	1.894082	15.739404	93.908966	15.105013	379.61935	0
267	2.7356346	1.0697778	16.861902	98.125977	17.005547	378.08829	2.5040195e-10
268	2.1948993	2.6503375	18.023157	173.70335	17.117091	364.27408	0
269	1.492382	4.9387202	18.790186	176.5132	16.66137	358.03601	2.8461839e-10
270	1.4827354	-1.8870668	14.586298	20.345121	14.787199	376.84979	1.4824525e-08
271	-1.1850451	-6.2024078	7.9260803	201.74541	8.4408692	296.9646	0
272	-1.9483202	-1.5818533	7.336908	147.27179	8.6931061	303.91776	0
273	1.6052455	0.098210722	8.8031555	58.884254	9.1699835	349.51157	7.6980177e-10
274	3.1410313	-1.730487	8.1744934	193.21684	8.5697758	298.30984	0
275	0.54540712	2.1256568	9.2655884	186.61652	7.9776671	290.42834	0
276	0.23229153	3.5685136	11.151697	58.005684	11.093674	336.89081	8.3664584e-10
277	-0.06791003	1.2886584	12.8612	15.047258	14.393532	361.31842	3.1947003e-08
278	1.7050663	-5.672648	5.2247559	191.13593	6.7896749	275.64175	0
279	-0.75719196	-3.6552038	3.2303711	186.51425	5.8965879	264.95447	0
280	0.71440506	-1.8660866	4.1658264	181.93295	6.3171797	269.91583	0
281	4.2044711	3.5169063	7.6306702	84.71788	7.8384231	305.4472	0
282	3.3675368	-1.1836737	11.557092	164.4502	10.541939	315.69333	0
283	0.29199475	2.4286082	13.298547	118.00919	12.511895	334.69531	0
284	3.8834188	-0.93896979	10.937616	62.558754	9.9431906	332.27359	4.8911503e-10
285	1.1012073	-4.1696358	3.4358459	175.47548	5.5358228	263.13348	0
286	0.79268044	-2.0876484	5.3557068	140.95163	6.3214848	283.59357	0
