"datetime","PAR_umolm2s"
2008-03-18,362.284
2008-03-19,97.1972152777778
2008-03-20,165.815041666667
2008-03-21,424.097159722222
2008-03-22,457.427284722222
2008-03-23,460.188708333333
2008-03-24,430.758159722222
2008-03-25,466.705270833333
2008-03-26,384.144722222222
2008-03-27,331.210048611111
2008-03-28,79.6649236111111
2008-03-29,455.020902777778
2008-03-30,506.138590277778
2008-03-31,163.404180555556
2008-04-01,200.855201388889
2008-04-02,448.547208333333
2008-04-03,504.246159722222
2008-04-04,144.445486111111
2008-04-05,282.396958333333
2008-04-06,162.577555555556
2008-04-07,504.136298611111
2008-04-08,519.096104166667
2008-04-09,407.825638888889
2008-04-10,518.816381944444
2008-04-11,182.808875
2008-04-12,359.074229166667
2008-04-13,285.376784722222
2008-04-14,460.93075
2008-04-15,546.937409722222
