"","Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_Chla","Flag_Pheo","age","year"
"293","GWR",50,2015-07-05 12:00:00,5,12.1,9.1,0,0,NA,2015
"294","GWR",50,2015-07-06 12:00:00,0.1,3.5,1.9,0,0,NA,2015
"295","GWR",50,2015-07-06 12:00:00,9,1.2,2.6,0,0,NA,2015
"296","GWR",50,2015-07-06 12:00:00,14,2.9,2,0,0,NA,2015
"297","GWR",50,2015-07-20 12:00:00,0.1,2.3,0.6,0,4,NA,2015
"298","GWR",50,2015-07-20 12:00:00,5,5.8,3.4,0,0,NA,2015
"299","GWR",50,2015-07-20 12:00:00,9,2.3,1.8,0,0,NA,2015
"300","GWR",50,2015-07-20 12:00:00,14,0.6,1.5,4,0,NA,2015
"301","GWR",50,2015-07-26 12:00:00,0.1,1.7,2,0,0,NA,2015
"302","GWR",50,2015-08-03 12:00:00,0.1,1.7,2,0,0,NA,2015
"303","GWR",50,2015-08-03 12:00:00,6,4.6,6.6,0,0,NA,2015
"304","GWR",50,2015-08-03 12:00:00,9,2.9,0.7,0,4,NA,2015
"305","GWR",50,2015-08-03 12:00:00,13,1,1.8,4,0,NA,2015
"306","GWR",50,2015-08-15 12:00:00,0.1,2.3,1,0,0,NA,2015
"307","GWR",50,2015-08-15 12:00:00,5,4,0.9,0,0,NA,2015
"308","GWR",50,2015-08-15 12:00:00,9,9.6,4.2,0,0,NA,2015
"309","GWR",50,2015-08-15 12:00:00,13.5,4.3,0.9,0,4,NA,2015
"310","GWR",50,2015-08-30 12:00:00,0.1,2.9,1.3,0,0,NA,2015
"311","GWR",50,2015-08-30 12:00:00,5,2.9,2.9,0,0,NA,2015
"312","GWR",50,2015-08-30 12:00:00,9,7.2,3.2,0,0,NA,2015
"313","GWR",50,2015-08-30 12:00:00,12,10.1,2.4,0,0,NA,2015
"314","GWR",50,2015-09-17 12:00:00,0.1,3.5,-0.1,0,4,NA,2015
"315","GWR",50,2015-09-17 12:00:00,8,11.5,6.5,0,0,NA,2015
