datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
174	0.022438658	-0.50872415	18.535455	317.62817	12.725049	329.88928	0
175	-1.2540109	0.60192722	15.976129	70.62413	14.985175	373.03394	1.3310822e-09
176	0.21984573	0.68747711	16.583002	141.10745	16.678302	392.22366	2.8716189e-09
177	1.0716592	-0.70891178	17.708276	306.00131	10.525445	333.93387	0
178	0.35862726	0.46825531	17.433862	318.09637	11.26893	322.75766	0
179	-0.43652368	0.57934499	15.369348	80.683746	14.985048	380.26083	4.4549721e-09
180	0.66427416	0.55103028	18.885034	255.86479	17.802805	385.51529	1.5100633e-09
181	1.2069303	-0.31428337	18.358392	316.40063	13.033819	347.26797	4.9615706e-10
182	0.29484338	0.32254353	17.905481	275.6832	11.39993	332.83246	0
183	-0.54676324	0.50730211	18.82406	302.11862	14.2839	360.72708	0
184	-0.42448732	0.59283149	18.306177	129.75932	18.211784	387.22775	1.5916175e-09
185	-0.5310995	0.97369224	19.811304	152.58754	20.35733	400.21112	2.7315064e-09
186	0.59291518	-0.51158619	18.549829	332.76495	14.152526	347.54077	1.1469455e-09
187	-0.30188745	0.011774458	18.267847	322.35947	13.076829	330.78116	0
188	-0.26707992	-0.36798427	19.247125	318.78598	14.973929	341.42001	0
189	0.13191035	0.36267278	20.212793	237.92058	16.342813	361.64957	1.6722347e-10
190	0.20760061	0.77970099	22.351404	293.39194	15.591014	357.11591	2.0170537e-10
191	-0.069115929	0.70095223	22.150751	254.24001	17.788561	373.55234	8.1445288e-10
192	-0.14998654	0.71521211	21.806635	229.27257	20.016103	382.36877	1.614846e-09
193	-0.1129709	0.84201843	21.939478	181.24823	21.392073	397.16669	8.8083152e-10
194	0.35720611	0.70930839	22.123346	192.63499	20.356804	393.91989	1.5931955e-09
195	0.80126542	0.0055160844	20.984338	299.32031	14.505213	347.63699	0
196	0.67277378	-0.15124798	20.306146	332.21252	13.745878	336.11026	0
197	0.30958769	-0.1518579	20.707239	324.21423	13.436236	333.30618	0
198	0.12551866	0.24941215	19.773859	218.56268	13.317664	353.34735	0
199	0.34155914	0.045815043	21.88595	323.24188	15.52834	349.20114	0
200	-0.1006745	0.24657342	22.302545	323.95645	14.869785	342.04004	0
201	-0.3190802	0.74130726	21.752252	170.91328	17.419828	378.86111	7.2854558e-10
202	-0.088053443	-0.8668977	18.935968	173.64525	17.67879	384.27786	7.3086794e-09
203	0.79035139	0.13555618	19.257471	292.71307	13.390899	341.19357	1.2490178e-10
204	0.30282795	0.18814386	19.523401	299.80679	14.47529	339.69785	0
205	-0.54178995	0.58842337	18.931818	195.21545	16.711022	367.33041	1.1417917e-09
206	-0.15348312	0.19059667	18.539667	125.33973	19.635295	398.73627	1.1478109e-08
207	0.59090197	0.16567354	18.788995	238.2364	17.89158	378.0452	1.9723437e-09
208	0.09214972	0.86217904	20.977258	298.87015	16.090934	353.14502	1.0338026e-10
209	0.095855646	1.1915945	20.287561	156.76685	18.269141	380.99243	4.6289818e-09
210	0.073081344	0.99036765	18.413629	139.05214	18.719772	395.82758	1.7186039e-09
211	-0.11689447	1.0825428	20.40423	201.22301	19.547083	391.65134	2.222719e-10
212	0.20473169	0.80683869	21.16958	182.68494	21.096612	403.29849	1.0329072e-09
213	-0.10062903	0.65015805	20.148187	64.151436	21.820275	403.42664	6.5479871e-09
214	0.60429627	0.12215348	22.360345	278.56799	21.53058	379.70312	0
215	-0.041367244	0.21761027	21.716547	259.39996	19.528574	375.20227	2.76829e-10
216	0.97732908	-0.13854221	20.715814	215.21484	18.927392	388.11859	1.6432773e-09
217	0.35192031	-0.57950354	19.111536	318.30338	14.30706	331.47958	0
218	-0.0088747414	0.19069029	18.841455	290.97324	13.912295	336.21411	0
219	-0.50880879	1.0448418	16.978265	87.376968	15.034985	376.69833	9.1161843e-09
220	-0.4414376	0.1994483	17.457391	159.30588	18.022732	396.07278	6.9205619e-10
221	0.38290885	0.24434833	21.314111	191.37738	20.839758	399.75314	3.1491379e-10
222	1.05126	-1.0093077	19.956628	317.15411	11.701762	335.73038	0
223	0.88040775	-0.21985134	16.917352	314.04407	9.5633662	310.65106	0
224	0.11841322	0.98365444	18.736475	277.24243	13.461923	356.69473	0
225	0.33928856	0.45545661	24.549677	242.75558	21.22264	397.37933	8.8092975e-10
226	-0.097452514	-0.63010615	20.313043	160.90703	18.075258	388.5715	1.4485725e-09
227	-0.4339512	0.19127414	18.595697	171.9985	17.943897	382.4599	5.3526067e-10
228	-0.52043205	0.044628087	18.516168	66.66539	20.039767	411.14151	9.1336381e-09
229	-0.038057391	-0.19896482	20.512781	255.18912	20.346862	390.78027	0
230	0.24562596	0.14497082	21.842889	266.85666	19.857765	371.62442	0
231	-0.0011645268	0.63994455	22.652612	267.96893	19.808307	373.82739	0
232	-0.17194426	0.70484471	21.208917	184.09747	19.687549	380.71854	4.3002069e-10
233	0.034507696	0.36007252	21.712366	163.62479	21.694875	396.65536	0
234	-0.061949879	-0.4840779	22.015558	231.03392	20.028381	383.53241	0
235	-0.31114504	0.1792457	20.987146	233.25261	19.277734	379.98294	0
236	-0.30588257	1.0124013	21.586633	215.32744	19.92348	383.49124	0
237	0.33155772	0.86440849	21.831995	192.10013	20.430685	391.80685	3.5925235e-09
238	0.15476297	0.060902104	20.605737	184.59599	20.953271	396.20303	2.8771016e-09
239	0.0364125	0.16676092	20.614099	212.63931	19.655488	387.55548	0
240	0.16596092	0.46304578	20.970331	256.32727	18.351966	364.08252	0
241	0.36555138	0.62385976	21.253656	176.14127	18.92692	380.10278	6.9800376e-10
242	-0.036033876	-0.745529	16.26864	41.545391	15.977057	380.22803	1.0067707e-08
243	1.1135939	-1.2109001	10.969354	41.160717	11.425517	366.5773	4.8868257e-09
244	0.87985599	-0.38051012	11.030237	230.31119	9.5885144	328.61456	0
245	0.46431744	0.32340965	13.688135	274.68195	10.127136	301.84814	0
246	0.044550523	0.9379003	16.593347	209.2748	12.078037	329.56226	0
247	-0.058247119	0.3597061	17.064539	98.039299	17.360216	377.26642	8.6861049e-09
248	-0.084199339	-1.352044	13.401117	110.47703	13.322041	364.5672	7.4220855e-09
249	0.42328328	-0.97554892	13.025049	274.71976	9.2458811	300.69858	0
250	0.36423242	-0.59609205	13.33996	271.27298	8.9059468	293.18631	0
251	0.051882897	-0.43209425	13.78631	264.96555	9.6691625	299.46286	0
252	-0.22798912	0.048780423	13.82879	254.46352	10.634814	305.74261	0
253	-0.44508368	0.70886052	14.781091	203.20879	12.543062	328.8913	1.2715237e-09
254	-1.7974226	-0.30440441	15.196588	96.115623	14.802856	365.06534	5.5196433e-09
255	-0.49545059	-1.2763286	15.912531	64.415443	16.749994	387.18039	3.3274546e-09
256	-0.14773688	-0.26150772	16.692621	83.315598	17.382247	387.38586	2.8628902e-10
257	0.085270464	0.16503149	17.535242	131.80435	18.40488	384.21747	1.7199188e-09
258	0.15147544	-0.43579286	17.687097	193.78256	16.287867	360.73743	8.5501616e-11
259	-0.39054805	-0.3321549	14.476801	92.193314	14.64356	357.26572	6.9527832e-09
260	0.39582533	-0.41643351	15.880975	145.15283	15.631987	369.29691	3.8467738e-10
261	0.67259568	-0.032721967	16.389703	212.1507	13.914522	326.76825	0
262	0.74650389	0.025012881	14.547388	234.284	9.863498	299.06049	0
263	0.040667791	-0.0050291587	12.505334	201.70015	8.9258827	298.07065	2.1296358e-10
264	0.087756075	0.25626084	12.571375	120.25732	11.808776	349.88245	7.1794311e-09
265	0.25569972	0.2344716	10.786646	99.263527	10.831571	320.31223	1.2010779e-10
266	0.56668502	-0.72927547	10.306818	167.38821	9.3944968	322.35721	0
267	0.92434227	-0.53550285	7.8090759	210.08762	6.2192555	289.05753	0
268	0.24895705	0.066127434	7.0272766	222.68456	6.4567035	268.14117	0
269	-0.074616894	0.5684129	9.078363	216.0014	7.6946905	283.73672	0
270	-0.2857503	0.70044172	11.762384	66.662888	11.4825	360.33939	1.8103829e-09
271	0.016925778	0.89332896	15.8565	87.191368	16.573293	378.24692	6.5400498e-10
272	0.23208138	1.1619587	20.386346	150.5656	19.491498	367.95914	1.3345322e-09
273	0.51846373	-1.1071609	13.516382	195.66147	10.429055	322.77423	1.7949322e-09
274	-0.47023171	-0.34170532	8.4794861	131.19229	6.0417043	296.50662	0
275	-0.43323779	-0.29456535	7.8596436	36.652405	9.105239	328.44696	2.2434596e-08
276	1.2683294	-0.86644256	5.7748657	41.710251	7.5120773	329.75217	3.0687379e-09
277	0.7449491	-0.053847913	5.592981	186.49106	5.3937118	280.53891	0
278	0.35930187	-0.17849408	5.0619141	196.02806	5.5671863	267.38611	0
279	0.92390877	-0.31876814	4.7155396	190.57167	5.1137032	268.43167	0
280	0.83716017	0.61328512	7.7891174	167.00595	6.0755245	300.99292	0
281	0.63233435	0.159665	8.5339294	184.61098	6.6522291	287.70026	0
282	0.25081557	-0.51460797	5.7483154	189.37093	5.7167047	265.15753	0
283	0.18048747	-0.33959025	4.9963928	185.84389	5.8921128	266.16754	0
284	-0.37422127	-0.08623419	5.4592224	132.89719	6.3514295	284.36417	0
285	-0.49623823	-0.63270533	7.3183228	113.58757	7.597043	301.94653	0
286	-0.91165441	-1.4372605	7.1802612	27.112391	9.3367924	335.49332	2.4590333e-09
287	0.1499324	-0.33457595	7.823114	43.322823	9.9562502	338.39383	2.1914784e-09
288	1.2055869	0.011289133	9.6086365	164.82193	9.196551	299.4603	1.2750035e-10
289	0.51949251	0.58222872	9.1420837	146.45222	8.5809735	288.51224	0
290	0.16093056	1.2350448	11.237482	85.941971	9.6393156	311.27924	0
291	-0.46886247	1.3008748	13.08999	128.81657	10.830555	307.77808	1.6301285e-10
292	-1.4367658	-0.068324037	12.052362	50.387482	13.070429	344.00922	2.091571e-08
293	-1.651217	-0.73808974	11.731287	65.570137	12.751334	341.15521	1.6266821e-08
294	-1.1476527	-1.82602	10.736841	33.187538	12.158625	347.19101	7.1628201e-09
295	-1.51466	-2.4554136	10.073083	78.799896	10.470179	334.29193	5.3020146e-09
296	-0.21511567	-1.9259442	9.3498169	108.05386	8.3968331	302.35941	0
297	0.65692353	-1.213089	9.1899658	145.92741	8.6989322	287.01883	0
298	0.98341537	-0.35170668	8.807428	136.46353	8.956334	287.61136	0
299	1.7725121	-1.1921183	8.5871826	146.23596	6.7683296	296.98611	0
300	1.6830056	-0.88402009	3.4475342	110.52686	4.2147266	282.76065	0
