"",-33.000,-32.000,-31.000,-30.000,-29.000,-28.000,-27.000,-26.000,-25.000,-24.000,-23.000,-22.000,-21.000,-20.000,-19.000,-18.000,-17.000,-16.000,-15.000,-14.000,-13.000,-12.000,-11.000,-10.000,-9.000,-8.000,-7.000,-6.000,-5.000,-4.000,-3.000,-2.000,-1.000,0.000
186.0000,NaN,1.6192E-011,1.3471E-011,1.2240E-011,1.1634E-011,1.1485E-011,1.1244E-011,1.0694E-011,9.9840E-012,9.1164E-012,8.1204E-012,7.1741E-012,6.2847E-012,5.2373E-012,3.9658E-012,2.6515E-012,1.3967E-012,3.8024E-012,1.2152E-011,2.6506E-011,4.9931E-011,8.7793E-011,1.4706E-010,2.3615E-010,3.7281E-010,6.1085E-010,1.0806E-009,2.0543E-009,4.2442E-009,9.3417E-009,2.0101E-008,2.9024E-008,1.5474E-008,2.0008E-008
187.0000,NaN,2.6126E-011,1.4385E-011,1.3826E-011,1.2451E-011,1.1531E-011,1.1085E-011,1.0595E-011,9.9438E-012,9.0931E-012,8.0991E-012,7.1553E-012,6.2709E-012,5.2287E-012,3.9624E-012,2.6580E-012,1.4676E-012,5.3514E-012,1.6866E-011,3.6790E-011,6.9103E-011,1.2090E-010,2.0118E-010,3.2165E-010,5.0838E-010,8.3424E-010,1.4719E-009,2.7997E-009,5.7591E-009,1.2483E-008,2.6506E-008,1.0617E-007,2.4245E-007,4.5515E-007
188.0000,NaN,4.1498E-011,2.2877E-011,1.5135E-011,1.2091E-011,1.1189E-011,1.0955E-011,1.0490E-011,9.7861E-012,8.8948E-012,7.8795E-012,6.9258E-012,6.0530E-012,5.0651E-012,3.9347E-012,2.9241E-012,3.3890E-012,1.5199E-011,3.6673E-011,7.4113E-011,1.3395E-010,2.2758E-010,3.6991E-010,5.8256E-010,9.1629E-010,1.5025E-009,2.6542E-009,5.0300E-009,1.0215E-008,2.1455E-008,4.2413E-008,1.9033E-008,4.3422E-008,4.7329E-008
189.0000,NaN,2.3690E-011,1.6594E-011,1.2522E-011,1.1084E-011,1.0796E-011,1.0597E-011,1.0024E-011,9.2404E-012,8.2991E-012,7.2372E-012,6.2388E-012,5.3537E-012,4.4141E-012,3.4199E-012,2.6980E-012,7.4431E-012,1.9777E-011,4.2212E-011,8.0506E-011,1.4103E-010,2.3436E-010,3.7485E-010,5.8488E-010,9.1633E-010,1.5021E-009,2.6440E-009,4.9755E-009,9.9188E-009,1.9937E-008,3.8054E-008,1.3072E-008,5.3911E-008,7.0570E-008
190.0000,NaN,1.5178E-011,1.0314E-011,1.1728E-011,1.1139E-011,1.0435E-011,9.8886E-012,9.2196E-012,8.4012E-012,7.4115E-012,6.2883E-012,5.2478E-012,4.4201E-012,3.7603E-012,3.5991E-012,9.6876E-012,4.4565E-011,9.4039E-011,1.7383E-010,3.1192E-010,5.2975E-010,8.6383E-010,1.3663E-009,2.1206E-009,3.3230E-009,5.4485E-009,9.5612E-009,1.7762E-008,3.4543E-008,6.6803E-008,1.2331E-007,1.5538E-007,2.4778E-007,4.6432E-007
191.0000,NaN,3.7320E-011,2.0556E-011,1.3226E-011,9.6416E-012,7.9404E-012,7.1625E-012,6.2963E-012,5.2267E-012,4.0793E-012,2.9850E-012,2.4045E-012,6.8143E-012,2.5479E-011,5.9426E-011,1.1350E-010,1.9236E-010,3.2533E-010,4.9612E-010,7.8599E-010,1.2332E-009,1.9034E-009,2.8921E-009,4.3548E-009,6.6668E-009,1.0674E-008,1.8082E-008,3.1836E-008,5.6486E-008,9.3179E-008,1.2583E-007,1.3912E-007,1.8859E-007,3.3881E-007
192.0000,NaN,1.5517E-011,1.1846E-011,9.3977E-012,7.4815E-012,6.1512E-012,5.2893E-012,4.3597E-012,3.3806E-012,2.5307E-012,1.9915E-012,6.8168E-012,1.4521E-011,2.6106E-011,4.3885E-011,6.8644E-011,1.0979E-010,1.6907E-010,2.5170E-010,3.8282E-010,5.8266E-010,8.7863E-010,1.3107E-009,1.9429E-009,2.9230E-009,4.5818E-009,7.5228E-009,1.2648E-008,2.1003E-008,3.1750E-008,3.7677E-008,2.2030E-008,6.8538E-008,1.0362E-007
193.0000,NaN,2.2627E-011,1.2563E-011,1.0510E-011,8.1079E-012,6.3362E-012,5.4042E-012,4.5449E-012,3.6072E-012,2.7246E-012,2.0455E-012,3.6589E-012,7.5316E-012,1.2348E-011,2.0394E-011,3.4102E-011,5.5285E-011,8.2435E-011,1.2364E-010,1.8775E-010,2.8484E-010,4.2852E-010,6.3819E-010,9.4415E-010,1.4164E-009,2.2083E-009,3.5970E-009,5.9809E-009,9.7948E-009,1.4673E-008,1.7933E-008,2.2044E-008,4.5696E-008,8.1867E-008
194.0000,NaN,2.8434E-011,1.7172E-011,1.0781E-011,7.7920E-012,6.3201E-012,5.5543E-012,4.6953E-012,3.7314E-012,2.8358E-012,2.1739E-012,4.0995E-012,8.5277E-012,1.4068E-011,2.4270E-011,4.2013E-011,6.8559E-011,1.0092E-010,1.5170E-010,2.3023E-010,3.4872E-010,5.2422E-010,7.8056E-010,1.1530E-009,1.7199E-009,2.6689E-009,4.3236E-009,7.1380E-009,1.1614E-008,1.7484E-008,2.2691E-008,2.8751E-008,4.5532E-008,8.0538E-008
195.0000,NaN,1.3687E-011,8.9843E-012,9.4975E-012,7.9671E-012,6.4774E-012,5.5498E-012,4.6544E-012,3.6910E-012,2.7671E-012,2.0029E-012,2.9004E-012,5.7170E-012,9.3947E-012,1.6306E-011,2.8205E-011,4.5568E-011,6.6551E-011,9.9251E-011,1.4994E-010,2.2621E-010,3.3905E-010,5.0360E-010,7.4219E-010,1.1058E-009,1.7100E-009,2.7561E-009,4.5247E-009,7.3393E-009,1.1129E-008,1.4887E-008,1.4959E-008,3.4865E-008,6.0957E-008
