"year","rcp","gcm","model","variable","mean","value","anom","mean_model","sd_model","var_model","mean_gcm","sd_gcm","var_gcm","mean_rcp","sd_rcp","var_rcp"
1981,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
